"synthetic_age","synthetic_always_lonely","synthetic_baseline_wellbeing","synthetic_community_cohesion","synthetic_eth_minority","synthetic_financial_crisis","synthetic_health_condition","synthetic_imd_decile_2019","synthetic_income_decrease","synthetic_lonely","synthetic_sex","synthetic_wave_1","synthetic_wave_4","synthetic_Weights"
17,2,1,20,0,1,1,"5",1,0,0,0,2,1.0609005188104
70,4,1,18,0,1,1,"7",1,0,0,0,6,0.355359458554402
49,0,0,12,0,1,0,"10",1,1,0,11,9,0.713791507577277
27,2,2,4,0,0,1,"5",0,0,0,3,3,0.923411219195366
64,1,0,14,0,1,1,"7",1,0,1,0,0,1.03893309361685
54,0,2,18,1,1,0,"6",0,0,0,0,0,1.0706979736901
42,1,0,17,0,1,1,"7",1,1,0,1,0,0.982521201944665
71,4,0,20,0,1,1,"7",0,0,0,1,7,0.813542586511017
23,0,0,6,1,0,0,"2",0,1,0,1,0,0.84594177731603
68,0,0,9,0,1,1,"5",1,0,1,3,0,0.953608329715348
74,1,0,6,0,0,0,"6",0,0,0,0,0,1.95739802408882
60,4,0,18,0,1,1,"8",1,1,1,8,6,1.18904811054247
65,4,0,14,0,1,1,"10",0,1,1,3,0,1.21891099716318
62,0,7,14,0,0,0,"2",1,1,1,1,2,0.715937249158787
80,3,0,13,0,1,1,"6",0,0,1,2,0,1.14587382123974
19,4,0,6,0,0,0,"6",0,0,1,3,0,0.82537678057879
30,0,0,10,0,0,0,"9",0,0,1,0,1,0.856834557575406
27,2,0,19,0,0,0,"4",0,1,1,9,10,0.739083503568396
34,0,1,8,0,0,1,"10",0,0,0,1,0,1.37173615884809
56,0,0,18,0,0,1,"2",0,0,1,4,6,0.976488983966444
25,3,0,20,0,1,1,"2",0,0,0,1,0,1.17343518076457
63,2,3,7,1,0,1,"7",0,0,0,0,0,2.18646982461528
56,0,0,17,0,0,0,"9",0,0,1,0,0,0.523146052960683
85,2,0,7,0,1,1,"9",0,1,1,1,1,1.16860113670721
35,0,0,16,0,0,0,"6",1,0,1,2,1,2.28533315976362
85,2,0,18,1,1,1,"3",1,0,0,0,0,1.84168115096939
19,2,2,6,0,0,1,"7",1,0,0,1,1,0.837322174247561
54,0,0,7,0,0,0,"9",0,1,0,0,0,1.73635158012706
24,0,3,13,1,0,0,"9",1,1,1,7,9,0.69988433067359
55,1,3,20,0,0,0,"8",0,1,1,0,1,0.768607936763714
45,4,0,7,0,0,1,"8",1,0,0,1,0,2.07031216192818
35,0,1,18,0,1,1,"4",0,0,0,1,2,0.953225055864284
20,1,2,4,0,0,0,"5",0,1,1,4,4,1.05460203999585
18,2,3,7,0,0,0,"1",1,1,1,1,1,0.94230876916226
28,1,1,8,0,0,1,"5",0,0,1,0,1,1.32697890899791
81,4,6,4,0,1,1,"7",0,0,1,1,0,0.79522546779344
31,2,3,17,0,0,0,"3",1,0,1,3,1,1.62675833763336
78,2,0,13,0,1,0,"2",1,1,0,0,0,0.626035050575115
75,2,0,6,0,1,1,"8",0,1,1,3,0,0.931723713686874
78,2,0,17,0,1,0,"6",1,0,0,1,0,1.1572592529483
68,3,0,9,0,1,1,"9",0,1,1,6,5,0.818388066382587
33,0,0,18,0,0,0,"9",0,0,1,0,0,0.965507658434138
52,4,10,4,0,1,1,"6",1,1,1,12,8,0.977010252406237
33,4,0,5,0,0,1,"1",0,1,0,3,3,0.892700832062035
37,3,3,5,0,1,1,"10",1,1,1,5,0,0.796309307674109
67,3,2,5,1,0,1,"7",0,0,0,8,1,0.986918310959497
51,3,4,13,0,1,1,"7",1,1,1,11,5,0.467631217313878
37,1,0,6,0,0,0,"3",0,1,1,2,2,0.679298110657236
23,0,3,18,0,1,1,"7",0,0,0,0,2,0.894633926046306
26,4,0,9,0,0,0,"2",0,1,0,2,0,1.92909526906862
77,2,1,6,0,0,1,"10",0,0,0,1,4,0.736268091170004
91,3,0,9,0,1,0,"9",0,1,1,1,0,1.24379390241373
22,3,0,20,0,1,1,"5",1,1,0,0,0,0.36600675577845
56,3,4,16,0,1,0,"4",0,1,0,6,1,0.996733259433295
91,2,0,17,0,1,1,"8",0,0,1,1,0,1.77648095344756
47,3,3,5,0,0,1,"7",0,1,0,6,12,0.829991835933231
59,4,3,11,1,1,0,"8",1,1,1,12,7,0.903043855133533
84,4,3,20,0,1,1,"10",1,0,0,0,0,0.848795860446956
48,2,3,15,0,1,1,"1",0,1,0,4,0,0.656549542163238
17,1,0,4,0,0,0,"7",0,0,1,0,1,1.43151979949244
22,3,2,8,0,0,1,"8",0,0,0,3,12,0.667905225845288
54,3,2,9,0,1,1,"9",1,1,1,9,6,1.30687161433483
75,3,2,6,0,1,1,"6",0,1,1,4,2,1.26510640936256
42,4,0,10,0,1,1,"7",1,0,1,10,9,0.436100978417481
43,4,0,18,0,1,1,"3",0,1,0,11,9,0.52504509206086
32,2,1,5,0,0,0,"10",1,0,0,2,0,1.22412344404288
81,2,0,16,0,1,1,"6",1,0,0,0,5,0.970110787075377
73,3,0,8,0,0,1,"5",0,0,0,1,0,0.837347085092105
70,4,9,16,0,1,1,"5",0,0,0,3,12,0.754266754519282
68,4,1,17,0,1,1,"7",1,0,1,4,0,0.575959843488387
39,0,1,13,0,0,1,"8",0,1,1,5,11,0.741366125212742
78,1,0,19,1,0,1,"1",0,0,1,1,0,1.15779793041407
27,3,0,11,0,0,0,"3",0,0,1,5,3,0.788333217106215
69,4,0,10,0,1,1,"1",1,1,1,7,2,1.09456837689892
91,0,0,14,0,1,1,"8",1,0,1,2,2,1.147308491006
45,3,0,7,0,0,0,"8",1,0,0,0,1,1.2603047269906
43,3,0,7,0,0,1,"2",0,1,0,3,1,0.517366105051912
26,1,1,7,1,0,1,"1",1,1,1,4,0,1.15310903147171
69,1,1,6,-99,0,0,"10",1,1,0,0,0,1.11995661142001
37,2,9,10,0,0,0,"2",0,1,1,8,11,0.81205876559313
35,4,1,6,0,1,1,"4",1,1,1,11,9,1.11760825577694
63,2,0,18,0,1,1,"8",1,0,0,0,1,1.15955805563587
79,0,0,17,0,1,1,"9",1,1,1,9,8,0.824596030021623
67,2,1,12,0,1,1,"8",1,0,1,0,0,1.4267552817741
62,3,12,6,0,0,1,"10",0,0,0,8,12,0.582883732131372
78,2,0,15,0,1,1,"3",1,0,0,0,0,2.23113594114063
32,3,2,8,0,0,0,"6",0,1,0,2,0,1.10698510319156
67,3,0,8,0,0,1,"6",0,0,0,0,0,1.46457483008177
59,4,3,19,0,1,0,"8",0,1,0,7,12,0.573141226102838
62,4,9,4,0,1,1,"6",1,0,1,5,11,0.936945901746701
63,3,0,18,0,1,1,"3",0,0,0,7,0,0.498002556131233
90,1,1,9,0,1,0,"10",0,0,1,1,0,0.623531703447229
35,3,2,8,0,0,1,"2",0,1,0,3,2,0.78620310445159
81,2,0,4,0,0,1,"5",0,0,0,2,3,1.08665960269518
78,4,2,14,0,1,0,"7",1,0,1,3,1,1.08672362223615
61,3,1,18,1,1,0,"2",1,1,0,2,0,1.53114219084853
59,4,1,13,0,1,1,"2",1,0,1,6,4,0.470597939551982
42,4,6,6,0,1,1,"10",1,1,1,11,9,0.815891045992107
66,1,7,15,0,1,1,"5",0,0,0,9,5,0.960367282810084
74,4,0,20,0,1,1,"2",1,0,1,4,3,0.569769287284329
26,0,1,10,1,0,1,"10",0,0,0,8,9,0.416980357016213
40,0,1,15,0,0,0,"8",0,0,1,0,3,0.667334133547787
50,3,0,20,0,1,1,"7",1,0,0,1,1,1.44745324428156
69,4,0,6,0,0,1,"1",0,1,0,4,2,1.12421902392855
30,0,2,8,0,0,0,"9",0,0,1,1,1,1.31928506914974
17,3,1,16,0,0,1,"3",1,0,1,2,0,0.822326311654069
60,4,1,11,0,1,0,"10",1,1,1,6,1,0.542931865071323
39,0,1,19,0,0,0,"10",1,0,1,0,0,0.784140846003053
91,0,0,15,0,1,1,"2",1,0,1,0,0,0.907470040411999
37,4,6,10,1,0,0,"7",0,1,1,4,0,1.35242013767096
65,4,11,17,0,1,1,"5",1,0,0,0,1,0.574770938469836
33,0,0,13,0,0,0,"6",0,1,1,10,12,0.59040086267231
75,4,3,6,0,0,0,"10",1,0,0,4,0,1.05548403096672
55,3,1,4,0,0,0,"4",0,0,0,4,3,0.4598974133203
56,4,3,8,0,0,0,"8",1,1,0,1,0,0.894575217598611
80,1,0,13,0,1,1,"7",1,1,0,4,0,0.895468642534997
78,1,1,18,0,1,0,"5",0,0,0,1,2,1.03947232842915
40,0,0,7,0,0,0,"1",0,1,1,1,1,0.898926968127115
50,0,0,17,0,0,0,"7",0,0,1,2,2,0.722506866985116
37,3,0,6,0,0,1,"6",0,0,0,1,0,0.87792594777229
45,0,7,19,0,0,0,"9",1,1,1,3,3,0.672498012218035
20,0,1,8,0,0,0,"9",0,1,1,0,2,0.595751025522793
76,4,0,19,0,1,1,"6",1,0,1,6,5,0.979883406391268
71,0,2,4,0,1,1,"5",1,1,1,1,0,0.732905436576623
71,4,1,5,1,0,0,"2",0,1,0,4,4,0.591977960745283
41,4,3,5,0,0,1,"9",1,1,0,6,3,1.04851933177923
60,2,3,4,0,1,0,"9",1,0,1,0,0,1.23828034765952
26,3,10,9,0,0,0,"6",1,0,1,4,1,0.877209432188419
67,4,0,8,0,1,0,"5",0,0,1,3,2,0.452964756420603
68,4,4,7,0,1,1,"3",0,0,1,12,10,0.420639461072484
30,1,0,5,0,0,0,"10",1,1,0,3,0,1.0080660891854
35,4,1,8,0,0,1,"5",0,0,0,1,2,1.12717694651405
35,3,11,5,1,0,0,"5",1,0,1,5,3,0.512212364799822
30,1,2,12,0,0,0,"4",0,1,1,4,7,0.706537054145671
31,0,0,19,0,1,1,"5",0,1,0,1,0,1.14770591656748
47,4,0,7,0,0,1,"7",1,0,0,0,1,1.09032667811713
92,0,0,13,0,1,0,"8",1,1,1,2,0,0.478975098892428
43,1,1,15,0,0,0,"1",1,0,1,2,0,1.190292067134
41,4,2,7,0,1,0,"7",0,1,1,12,11,0.698131117117539
74,0,1,10,0,1,1,"6",1,1,1,6,5,0.867634407094334
25,3,2,17,0,1,1,"9",1,1,1,11,11,1.29846737990777
63,0,2,16,1,1,0,"7",1,0,0,0,1,1.01559335334606
42,0,1,6,0,0,0,"9",0,1,0,1,0,1.46457244988391
25,4,9,12,1,0,1,"5",1,1,1,10,10,0.740404845587172
81,3,0,12,0,1,0,"8",0,1,1,6,3,0.78432013835368
20,3,0,11,1,0,1,"8",0,0,1,4,0,0.851303534410428
48,1,0,5,0,0,0,"8",1,1,0,0,0,1.46464879596801
65,2,2,4,0,0,0,"8",1,1,0,3,0,0.837490562865404
65,3,6,9,0,0,1,"10",0,0,0,3,3,0.600779446513372
50,4,0,9,0,1,0,"9",1,0,1,2,0,0.772669725249491
49,0,1,5,0,0,0,"10",0,1,0,2,0,1.00796483875176
62,4,3,6,0,0,0,"7",1,1,0,0,2,0.667419581504683
27,3,8,8,1,0,1,"1",1,1,1,10,8,0.762118662647406
44,2,12,17,0,1,1,"8",1,0,0,0,1,0.63772273206783
25,0,0,-99,0,0,1,"8",1,0,0,0,3,1.27361223917166
87,4,0,19,0,1,1,"10",0,0,1,0,0,0.990852979008946
36,2,12,4,1,0,0,"10",0,0,1,4,0,0.545231056909892
67,4,1,8,0,0,1,"9",1,0,0,3,0,0.461669600320558
71,2,1,6,0,1,1,"8",0,1,1,2,0,1.08534393511189
68,2,0,19,0,0,0,"1",0,0,1,0,1,1.09355706174265
75,0,1,4,0,0,1,"10",0,0,0,0,0,1.07499090126826
35,2,0,14,0,0,1,"5",0,0,1,0,2,0.746551858873945
81,4,10,12,1,1,1,"9",1,1,1,11,11,0.730479837933104
18,4,0,9,0,0,1,"10",1,0,0,2,1,0.711955585124162
81,0,7,20,0,0,0,"4",1,0,1,0,0,0.602412197572828
50,0,0,12,0,0,1,"3",0,0,1,1,1,1.04533596620665
88,0,1,10,0,1,0,"10",1,0,1,1,1,1.35471610182899
23,0,0,14,0,0,1,"10",0,0,1,0,0,1.30444485690819
79,3,0,18,0,1,0,"7",1,1,1,3,0,1.13956737190047
80,0,0,4,0,1,1,"8",0,1,1,6,9,0.793401352797782
46,1,0,10,1,0,1,"8",0,1,1,0,0,1.28484838361348
28,3,0,11,1,0,0,"7",0,0,0,0,0,1.37299355488702
29,1,1,20,0,1,0,"8",0,1,0,0,2,1.17257282518607
54,1,1,-99,0,1,0,"5",1,0,0,1,3,1.26742477585669
85,1,1,16,0,1,1,"6",1,0,1,1,0,1.68276458663274
46,1,0,9,0,0,0,"1",0,1,1,1,1,0.857166408084394
37,0,0,13,1,0,0,"9",1,0,1,1,1,0.542548078961583
50,2,1,20,0,0,1,"3",0,1,1,3,1,0.979620021496403
19,4,0,17,0,0,0,"6",0,1,1,3,0,0.882398213695595
40,4,8,13,0,0,0,"2",0,1,1,10,10,0.744594220305256
27,4,0,20,0,0,0,"6",0,1,1,8,7,1.03054327304067
71,4,1,14,0,1,1,"10",0,1,1,6,0,0.816714372124198
37,3,0,16,0,0,1,"4",0,0,1,1,1,1.09319013326243
43,2,0,12,-99,1,1,"6",0,1,1,11,0,1.39260820492663
56,1,5,5,1,0,1,"9",0,1,1,0,0,0.898167851222349
77,4,1,16,0,1,0,"1",1,1,0,3,0,0.501352494489892
46,1,1,20,0,0,1,"5",0,1,1,1,0,1.012593591599
89,4,4,10,1,0,1,"9",0,0,0,0,0,1.40901815271193
51,0,10,8,0,1,1,"1",0,1,0,12,12,0.426258082662199
18,3,0,20,0,1,0,"5",0,1,0,7,1,0.676333251177163
88,4,1,8,0,1,1,"4",0,0,1,1,0,0.928568348822576
89,1,0,14,0,1,1,"7",0,1,1,5,4,0.581541134277119
81,3,0,15,0,1,0,"3",1,1,1,4,3,1.19812383856119
59,4,11,10,0,0,0,"3",0,0,1,4,4,0.835348257450261
40,0,1,11,0,0,0,"8",0,0,1,1,0,0.794298154021594
53,4,3,17,0,1,1,"8",1,0,0,7,8,1.16519598505788
87,0,1,9,0,1,0,"10",1,1,1,2,0,1.08468802126
56,1,0,13,0,0,0,"2",0,0,1,0,1,1.6789103563748
71,4,1,13,0,1,0,"7",1,1,1,5,0,2.56477000120083
65,2,3,17,0,1,1,"10",1,0,0,2,4,0.938764487751518
62,3,1,18,0,1,1,"2",0,0,0,2,10,0.450723677149562
66,4,0,15,0,1,1,"4",1,1,1,7,7,0.486819986064728
54,4,0,19,0,1,1,"2",0,0,0,0,0,0.940387025437941
82,1,0,8,1,0,1,"10",0,0,0,0,1,0.737551044885501
78,3,2,5,1,0,0,"2",1,1,0,0,1,0.765946821172103
87,0,4,13,0,0,0,"2",0,0,1,0,0,1.60124168994385
28,1,5,15,0,0,0,"9",1,1,1,2,3,0.553847889550841
75,0,0,6,0,1,0,"10",1,1,1,0,0,1.38645266410972
85,0,0,16,0,1,1,"9",1,0,1,1,1,1.56279551400846
33,3,5,16,0,0,0,"2",1,0,1,1,0,0.778700827847181
90,1,7,4,0,1,1,"9",0,1,1,2,2,0.719020178941674
78,1,2,5,0,1,1,"10",0,1,1,2,0,1.1411526689264
21,1,0,9,0,0,0,"2",1,1,1,3,1,0.811233485100442
71,0,0,17,1,0,1,"3",0,0,1,0,0,1.12403141761729
21,3,2,19,0,1,0,"6",1,1,0,3,0,0.530713792179439
32,3,1,4,0,0,0,"5",0,1,0,12,7,0.706250138723447
67,2,1,18,0,1,0,"8",1,0,1,9,12,0.45738365193234
19,3,7,7,1,0,0,"7",0,1,0,3,0,0.910384627485832
28,4,0,18,0,1,1,"10",1,1,1,7,5,0.78160049621995
65,1,3,17,0,1,0,"6",0,0,0,0,1,1.82262813477626
38,4,0,9,0,1,0,"6",1,1,1,9,7,0.834942007815438
85,4,0,18,0,1,1,"4",1,1,1,2,0,1.2101747807947
60,4,1,4,0,0,1,"7",1,0,0,3,0,1.03593434271553
40,3,0,12,0,1,0,"3",1,1,0,10,3,0.548335441942623
66,4,3,12,0,1,0,"9",1,0,1,3,0,0.878480792483039
91,3,6,12,0,1,0,"7",0,1,1,10,10,0.516803324856588
31,0,0,5,0,0,0,"3",0,1,1,4,0,1.98090113521957
79,3,1,10,0,1,1,"4",0,0,1,8,2,0.983744889650054
26,3,2,17,0,0,1,"1",1,0,1,2,1,0.938402783086246
59,4,0,-99,0,0,1,"9",1,1,0,2,2,1.09115399631282
80,1,0,16,0,1,1,"5",1,0,1,3,3,0.846800592812571
92,1,0,9,0,1,0,"7",0,0,1,0,1,1.19441424770262
89,3,2,8,-99,0,1,"9",1,1,0,3,2,0.808904963401017
53,0,1,10,0,0,1,"1",0,1,1,2,1,1.10236890162682
44,4,0,6,0,1,0,"10",1,0,1,0,0,1.68401730639559
49,2,0,14,0,0,0,"5",0,1,1,3,3,0.592208898095357
19,3,0,15,0,0,0,"7",0,0,1,3,1,0.721807504387126
86,0,0,12,0,1,0,"8",1,0,1,0,1,1.67829257099658
78,4,4,20,0,1,1,"8",0,0,0,0,0,1.08934382603482
89,2,1,17,0,1,1,"4",1,1,1,2,2,1.10284640743211
72,3,3,5,0,0,1,"10",1,0,0,0,1,1.0187029469626
77,1,0,20,0,1,1,"7",0,0,0,0,1,1.54912890554938
44,3,3,6,0,1,1,"10",1,1,1,9,5,0.950126193589048
41,3,11,4,0,0,0,"3",0,1,1,9,10,0.632426352138267
85,2,0,15,0,1,0,"7",1,1,0,3,0,0.858060604423742
59,3,0,4,0,0,1,"9",1,1,0,3,1,0.662047469368561
27,3,1,11,0,0,1,"6",0,0,1,1,0,2.02457746748527
26,2,1,4,0,0,1,"9",1,1,0,3,0,1.04308512296538
29,2,0,8,0,0,1,"10",0,0,0,3,3,0.629888175915318
67,3,1,13,0,1,1,"6",1,1,1,2,0,1.32013487406403
81,0,0,13,0,1,1,"9",1,1,1,5,12,0.645315954470291
67,2,1,20,0,0,0,"4",0,1,1,0,0,1.27680265595364
71,1,0,18,0,1,1,"8",1,0,0,1,4,1.09993329986343
35,1,7,13,1,0,1,"10",1,1,1,2,1,1.14145934519924
87,4,7,4,0,0,1,"10",1,0,0,1,1,1.4254449718502
27,4,4,8,0,1,1,"3",1,1,1,11,5,0.964128617360525
48,1,12,12,0,1,1,"6",1,0,0,5,0,0.456322945809329
35,3,0,19,0,0,1,"3",0,0,1,0,0,0.850312688939385
39,3,2,19,0,0,1,"2",0,1,1,7,8,0.722032455101641
85,3,0,9,0,0,1,"10",0,0,0,0,2,1.39735738594485
27,0,0,10,0,0,1,"4",0,1,1,0,0,1.17921882506619
75,2,2,14,0,1,0,"5",1,1,0,5,0,1.11401406820827
54,0,0,14,0,0,0,"5",0,0,1,0,0,1.49777552350938
52,0,2,14,0,0,1,"1",0,1,1,2,0,0.962871774278276
73,4,2,18,0,1,1,"2",0,0,0,3,1,0.562883329814718
19,0,0,7,1,0,0,"1",1,1,1,8,10,0.699676590848715
70,1,0,16,1,0,0,"7",0,1,1,0,3,0.710470574544829
72,4,0,5,0,0,1,"1",0,1,0,0,0,1.38020528539158
34,0,5,20,0,0,1,"8",1,0,1,1,0,0.611844858601218
73,4,12,8,0,1,0,"8",1,1,1,11,10,0.918819828732153
77,0,3,4,0,1,1,"2",1,1,1,2,0,0.614246427365854
71,2,11,18,0,1,1,"9",0,1,0,4,11,0.314994869630547
23,4,1,19,0,0,0,"3",1,1,1,4,0,0.895244240012496
48,0,0,10,0,0,0,"4",0,1,1,1,1,0.848094502331496
38,4,2,7,0,0,1,"4",1,1,0,2,0,1.23891630686061
55,1,0,5,0,0,1,"5",0,1,0,1,2,1.58294760402671
85,3,0,7,0,1,0,"5",0,0,1,0,0,1.05960107202166
33,2,0,20,0,0,0,"5",0,0,1,4,5,0.665536751204134
84,4,0,16,0,1,0,"4",1,1,0,1,0,1.37007836903683
81,3,12,11,0,1,0,"5",1,1,1,10,10,1.41955273122838
64,0,0,7,0,1,1,"9",1,0,1,0,0,1.49786153885478
54,1,4,15,0,1,1,"7",1,1,0,0,0,1.14140635700537
32,1,1,16,0,0,1,"2",1,1,1,0,0,1.1255255754312
23,1,1,12,0,0,1,"2",0,0,1,2,0,0.597108831553584
87,0,0,4,0,1,0,"10",0,0,1,9,12,0.498389455936851
30,3,1,7,0,0,0,"4",0,1,0,3,2,1.62810940045741
74,1,2,19,0,1,1,"9",1,0,1,2,0,1.14250538911224
81,1,0,14,0,1,0,"7",1,1,0,1,0,1.00154420621106
88,2,1,5,0,0,0,"10",0,0,0,2,2,1.05302745232606
69,2,0,9,0,1,1,"9",0,0,1,1,0,0.831801758353868
87,4,1,14,0,1,1,"7",0,0,1,1,0,1.19827427849633
52,2,0,6,0,0,0,"9",1,1,0,1,0,2.48327034928917
20,0,1,17,0,1,1,"6",0,0,0,2,0,0.873868871758916
86,4,0,8,1,1,0,"5",1,0,1,3,0,0.586992100438636
26,1,1,17,0,1,0,"5",0,1,0,1,0,1.59101162613315
22,4,4,8,0,0,0,"9",0,1,0,6,0,0.642401576877383
92,4,0,17,0,1,0,"3",1,0,0,0,0,1.64339669140887
37,2,0,8,0,0,1,"7",0,1,0,0,1,0.91611216993967
81,2,1,10,0,1,0,"9",1,0,1,2,0,1.43578140071511
35,2,2,10,0,0,0,"7",0,1,1,0,0,0.901535283228703
36,2,0,15,0,0,1,"4",0,0,1,1,0,0.606352162056227
46,1,4,4,0,0,0,"3",0,0,1,0,0,1.02504455178213
20,0,0,19,0,0,0,"10",1,1,1,4,1,0.872061705727704
49,3,1,6,0,0,1,"3",1,1,0,1,3,0.598208511826597
58,1,4,13,0,0,0,"10",0,0,1,0,4,0.901328037014017
41,1,2,9,0,1,1,"9",1,1,1,3,1,0.793712034062584
55,4,11,7,0,1,0,"7",1,1,1,11,8,0.808068081292355
56,4,7,4,0,1,1,"3",1,1,1,10,4,0.559782575937573
76,0,0,15,0,1,0,"8",1,0,0,0,6,1.07509975695425
81,4,7,4,0,1,1,"5",0,1,1,12,12,0.710239378198918
40,3,2,18,0,1,1,"4",1,0,0,0,0,1.79373038822094
40,1,1,13,0,0,1,"2",0,1,1,1,0,1.11114426047971
47,4,2,7,0,1,1,"5",1,1,1,7,7,0.56203814239338
33,4,0,5,0,1,1,"8",1,1,1,7,2,1.50219194674274
61,3,0,15,0,1,1,"10",1,1,1,5,1,0.522539244899412
34,4,0,11,1,0,1,"8",1,0,0,0,0,0.983760280235757
51,3,1,17,0,1,0,"8",0,1,0,12,3,1.02740336760505
54,0,12,6,0,0,1,"2",0,0,1,5,6,0.833903775146648
25,0,1,7,0,0,0,"5",0,0,1,2,1,1.71856891739786
29,3,2,10,1,0,0,"5",1,0,1,2,0,0.78800464740203
70,1,2,15,1,1,1,"4",1,0,0,8,9,0.287533951033025
29,1,0,7,0,0,0,"3",0,0,1,0,2,0.964981638126967
66,0,0,16,0,1,0,"8",0,1,0,1,4,0.984439085125866
47,0,7,14,0,1,1,"8",0,1,0,11,11,0.394658118921067
47,3,1,5,0,0,1,"4",0,1,0,1,0,1.42693615759162
77,0,2,14,0,1,0,"5",1,0,0,2,3,1.30526721189596
64,3,1,4,0,1,1,"6",1,0,1,2,0,0.833818561109275
59,1,0,-99,0,0,1,"10",0,0,1,12,5,0.782384819160901
71,0,4,14,0,0,0,"1",0,1,1,3,2,0.533109230615214
26,4,1,9,0,0,1,"9",1,0,0,2,2,0.983894184543726
64,2,10,7,1,0,0,"5",0,1,1,6,6,0.749289682965523
17,0,0,15,0,0,0,"8",1,0,1,1,1,0.839110656207458
48,4,12,8,-99,0,1,"2",1,1,0,5,0,0.587958265496226
22,1,1,19,1,1,1,"6",1,0,0,2,0,0.813539171385711
67,1,0,17,1,0,0,"8",0,0,1,1,0,0.628306964549833
82,0,2,15,0,1,0,"5",0,0,0,0,1,0.55361878544181
69,4,1,4,0,0,1,"4",1,1,0,2,0,1.22399104075438
60,3,2,-99,0,1,0,"5",1,1,1,12,5,0.485609665076771
64,1,0,20,0,0,1,"1",0,0,1,0,2,0.902338044137704
81,3,0,8,0,1,0,"10",0,1,1,0,0,0.89445312752775
26,0,4,16,0,1,0,"8",1,1,0,5,3,0.506308722050213
61,4,0,13,0,1,0,"8",1,1,1,5,4,0.994830171516826
38,1,1,12,0,1,1,"8",1,1,1,11,12,0.857321756612972
50,4,3,7,0,0,0,"4",0,1,0,4,3,0.596594500298033
85,1,3,16,0,1,0,"9",1,0,0,1,1,1.23843744350638
38,1,1,14,0,0,0,"1",1,0,1,0,0,0.763189850172355
71,1,0,8,0,1,0,"8",1,0,1,2,0,1.4881462887379
30,1,1,18,0,1,0,"9",1,1,0,3,1,1.32106343394439
79,0,1,13,0,1,1,"3",1,0,0,1,1,0.962253941328726
85,3,1,18,0,1,1,"5",0,0,0,1,1,1.54560665476067
26,1,0,15,0,0,1,"6",0,1,1,0,0,1.47616032526504
37,4,12,11,0,0,0,"10",0,0,1,6,0,0.844095158711055
48,4,6,7,0,0,0,"3",0,1,0,0,0,0.640477955971085
73,4,2,17,0,1,0,"8",1,1,1,7,7,1.26910117035257
76,2,0,12,0,1,1,"10",0,1,1,2,0,0.98990207410611
55,2,8,15,0,1,0,"5",1,1,0,5,2,0.605973306814042
44,4,5,19,0,1,0,"8",1,0,0,0,1,0.754521341606951
22,4,0,17,0,1,1,"8",1,1,1,8,3,1.28317112458888
35,2,1,18,0,1,0,"8",1,1,0,3,3,0.897179795592344
32,1,7,20,0,0,0,"10",1,1,1,11,12,0.891661776138423
90,4,0,18,0,1,0,"8",0,1,1,4,4,0.592957445307307
47,1,7,14,1,0,1,"8",1,1,1,2,0,0.452467064334678
63,1,8,8,0,1,1,"5",1,1,0,11,10,0.791444207072454
33,1,12,11,0,1,1,"7",0,1,0,12,12,0.987471619957597
40,1,0,14,0,0,0,"10",0,0,1,0,1,1.06353386758253
63,1,0,17,0,1,1,"5",0,0,0,0,0,2.02459397438323
23,0,1,16,0,0,0,"8",1,0,1,0,2,1.0991771948984
40,0,1,11,1,0,0,"9",1,1,1,1,1,1.5322385091236
55,2,3,9,0,1,1,"10",1,1,1,4,1,1.28452351061526
90,3,1,18,0,1,1,"8",1,1,0,1,0,1.24483811250781
53,2,0,10,0,0,0,"8",0,0,0,1,0,0.583340668948433
20,1,0,16,0,0,1,"6",1,0,1,0,0,0.765611608676128
48,0,0,9,1,0,0,"10",0,0,1,0,1,0.694766978599482
25,1,0,6,0,0,1,"4",0,1,1,1,0,1.00998613396029
51,0,3,20,0,0,0,"7",1,0,1,2,2,0.918550472839587
81,2,0,5,0,0,1,"6",0,0,0,1,8,0.611652202490779
37,0,0,19,0,0,1,"9",0,0,1,0,2,1.22832492738789
36,3,11,16,0,1,1,"2",0,1,0,3,0,0.620390873057957
71,0,11,13,0,1,0,"10",1,1,0,5,4,0.351308470283718
31,0,1,17,1,0,1,"9",1,1,1,2,1,0.983730996037752
22,0,1,14,0,1,0,"4",0,1,0,7,5,0.691512660945782
63,3,0,10,0,1,1,"10",0,0,1,3,0,1.04310885882339
17,0,0,13,0,0,1,"10",0,0,1,1,1,0.923234101254371
82,4,0,4,0,0,1,"3",1,1,0,2,2,1.24515686449916
67,0,3,12,0,1,1,"7",1,0,0,4,1,0.695380121575095
26,0,0,18,0,0,1,"9",0,0,1,0,1,1.01138061381123
19,0,0,18,0,0,1,"6",1,0,1,0,0,1.22441227951104
88,2,0,16,0,1,1,"2",0,0,0,2,0,1.27910180965122
40,4,3,4,0,1,0,"3",1,0,1,10,10,1.18934958573001
25,2,1,9,0,0,1,"6",0,0,0,1,0,0.81877181652226
18,0,3,5,1,0,0,"5",0,0,0,2,3,0.751177631565295
73,4,1,19,0,1,1,"1",0,1,0,0,0,1.03501985188709
59,4,0,4,0,1,1,"9",0,0,1,2,0,1.47061185256615
90,4,0,12,0,1,0,"1",1,1,1,4,0,1.08892937471731
42,1,0,20,0,1,0,"7",0,1,0,0,1,1.16115180956162
